video_id,titulo,video_duration_s,category,que_pasa,total_views,total_likes,like_rate,total_comments,comment_rate,suscriptores_ganados,subscription_rate,avg_watch_percent,avg_watch_time_s,veces_recomendado,total_clics,click_through_rate
1,,1508,News,,22,8,0.3636,5,0.2273,0,0.0,0.6717,1116.77,6,6,1.0
2,,2645,Lifestyle,,27,10,0.3704,4,0.1481,2,0.0741,0.6945,1206.0,11,12,1.0909
3,,1360,Gaming,,15,4,0.2667,2,0.1333,0,0.0,0.7093,1331.27,3,4,1.3333
4,,2378,Music,,28,6,0.2143,2,0.0714,4,0.1429,0.6828,1260.07,8,6,0.75
5,,2939,Comedy,,20,7,0.35,2,0.1,0,0.0,0.5399,964.75,11,5,0.4545
6,,1345,Lifestyle,,21,6,0.2857,2,0.0952,1,0.0476,0.8623,1282.19,9,5,0.5556
7,,3043,Music,,29,10,0.3448,5,0.1724,1,0.0345,0.7775,1304.55,12,14,1.1667
8,,2607,Comedy,,25,8,0.32,2,0.08,1,0.04,0.5659,732.52,11,8,0.7273
9,,1684,Music,,20,6,0.3,3,0.15,0,0.0,0.6888,953.5,5,3,0.6
10,,1943,Comedy,,17,6,0.3529,3,0.1765,1,0.0588,0.9074,1745.76,8,5,0.625
11,,1583,Education,,18,6,0.3333,3,0.1667,0,0.0,0.6142,1135.33,8,6,0.75
12,,573,Lifestyle,,17,3,0.1765,2,0.1176,0,0.0,0.7604,926.88,6,5,0.8333
13,,1259,Gaming,,14,1,0.0714,1,0.0714,0,0.0,0.8542,993.43,5,4,0.8
14,,3250,Lifestyle,,23,9,0.3913,2,0.087,1,0.0435,0.7273,1185.13,6,4,0.6667
15,,3308,Music,,19,7,0.3684,2,0.1053,1,0.0526,0.6801,1414.74,10,3,0.3
16,,2700,Music,,23,8,0.3478,2,0.087,1,0.0435,0.6426,1074.52,7,6,0.8571
17,,1558,Education,,18,7,0.3889,2,0.1111,0,0.0,0.8165,1324.61,7,4,0.5714
18,,1154,Comedy,,20,7,0.35,0,0.0,0,0.0,0.6656,853.0,9,3,0.3333
19,,2968,Gaming,,22,8,0.3636,2,0.0909,1,0.0455,0.74,1248.5,6,5,0.8333
20,,2939,Education,,24,4,0.1667,4,0.1667,0,0.0,0.8957,1677.92,6,8,1.3333
21,,2311,Education,,19,4,0.2105,2,0.1053,1,0.0526,0.6686,1038.16,11,6,0.5455
22,,3125,Lifestyle,,20,7,0.35,3,0.15,0,0.0,0.7034,1114.1,10,6,0.6
23,,373,Sports,,32,8,0.25,1,0.0312,6,0.1875,0.7127,1138.88,16,8,0.5
24,,384,Comedy,,15,2,0.1333,3,0.2,0,0.0,0.8033,895.07,5,4,0.8
25,,433,Comedy,,20,5,0.25,2,0.1,1,0.05,0.7931,1115.5,7,4,0.5714
26,,3071,Lifestyle,,12,5,0.4167,1,0.0833,2,0.1667,0.7752,1235.42,6,2,0.3333
27,,1174,Comedy,,16,3,0.1875,2,0.125,1,0.0625,0.7675,1450.12,7,5,0.7143
28,,2258,Sports,,20,4,0.2,2,0.1,0,0.0,0.8536,1125.0,7,5,0.7143
29,,2323,Gaming,,18,4,0.2222,0,0.0,0,0.0,0.7355,1279.89,2,2,1.0
30,,1442,News,,14,7,0.5,5,0.3571,1,0.0714,0.8381,1168.29,4,4,1.0
31,,3228,Comedy,,13,3,0.2308,2,0.1538,0,0.0,0.5983,1300.38,10,5,0.5
32,,1805,Lifestyle,,19,6,0.3158,1,0.0526,2,0.1053,0.7417,1717.74,5,5,1.0
33,,401,Gaming,,23,4,0.1739,1,0.0435,0,0.0,0.709,1413.61,11,11,1.0
34,,849,Education,,21,9,0.4286,1,0.0476,1,0.0476,0.7821,1373.38,4,6,1.5
35,,1914,Tech,,18,7,0.3889,4,0.2222,1,0.0556,0.8014,1350.67,7,2,0.2857
36,,2530,Gaming,,20,3,0.15,1,0.05,2,0.1,0.6529,1176.9,8,6,0.75
37,,568,Music,,21,7,0.3333,4,0.1905,0,0.0,0.8156,1215.29,10,8,0.8
38,,1335,Comedy,,25,5,0.2,4,0.16,0,0.0,0.8117,1196.04,9,7,0.7778
39,,831,Music,,25,6,0.24,3,0.12,0,0.0,0.6728,1183.24,10,3,0.3
40,,670,Comedy,,17,5,0.2941,1,0.0588,1,0.0588,0.7614,1047.0,5,8,1.6
41,,1351,News,,18,7,0.3889,4,0.2222,1,0.0556,0.7899,1327.0,8,6,0.75
42,,2940,Lifestyle,,27,2,0.0741,2,0.0741,5,0.1852,0.6741,1186.19,9,10,1.1111
43,,1957,News,,19,4,0.2105,2,0.1053,1,0.0526,0.8513,1400.79,11,8,0.7273
44,,440,Comedy,,23,6,0.2609,2,0.087,1,0.0435,0.6921,1122.91,11,7,0.6364
45,,2174,Music,,17,7,0.4118,1,0.0588,0,0.0,0.6918,1028.76,3,8,2.6667
46,,1111,Tech,,14,6,0.4286,1,0.0714,0,0.0,0.7205,1338.5,6,5,0.8333
47,,459,Education,,21,7,0.3333,3,0.1429,0,0.0,0.6638,1172.57,9,9,1.0
48,,843,News,,17,8,0.4706,4,0.2353,1,0.0588,0.5807,1069.65,9,6,0.6667
49,,3185,Music,,24,6,0.25,2,0.0833,0,0.0,0.781,1578.96,12,7,0.5833
50,,3578,Music,,10,4,0.4,1,0.1,0,0.0,0.6987,1768.5,5,3,0.6
51,,1690,Music,,18,3,0.1667,3,0.1667,0,0.0,0.7582,1179.72,9,7,0.7778
52,,2662,Comedy,,21,3,0.1429,3,0.1429,1,0.0476,0.7,886.0,10,6,0.6
53,,2563,Comedy,,14,3,0.2143,1,0.0714,1,0.0714,0.7949,1167.29,2,6,3.0
54,,2774,Music,,21,4,0.1905,1,0.0476,0,0.0,0.6192,1220.62,10,9,0.9
55,,2800,Lifestyle,,16,7,0.4375,1,0.0625,0,0.0,0.66,1529.0,7,3,0.4286
56,,1325,Comedy,,23,9,0.3913,3,0.1304,1,0.0435,0.7358,1034.17,11,5,0.4545
57,,2936,Lifestyle,,27,8,0.2963,2,0.0741,0,0.0,0.6737,1407.48,7,6,0.8571
58,,2717,Education,,23,7,0.3043,1,0.0435,2,0.087,0.7535,1521.7,9,4,0.4444
59,,153,Comedy,,15,3,0.2,2,0.1333,2,0.1333,0.682,1093.07,7,6,0.8571
60,,1761,Music,,21,7,0.3333,1,0.0476,1,0.0476,0.6888,1286.9,10,7,0.7
61,,212,News,,22,9,0.4091,4,0.1818,0,0.0,0.8056,1180.91,11,7,0.6364
62,,3538,Lifestyle,,24,6,0.25,2,0.0833,1,0.0417,0.759,1082.29,14,5,0.3571
63,,2775,Comedy,,22,5,0.2273,5,0.2273,2,0.0909,0.7483,1180.41,8,5,0.625
64,,2142,News,,19,4,0.2105,2,0.1053,0,0.0,0.6985,1431.47,6,9,1.5
65,,1871,Comedy,,8,1,0.125,2,0.25,1,0.125,0.737,2067.88,3,3,1.0
66,,2189,Education,,17,3,0.1765,3,0.1765,2,0.1176,0.8504,1407.29,8,5,0.625
67,,2079,Comedy,,17,5,0.2941,3,0.1765,2,0.1176,0.6799,1201.53,7,1,0.1429
68,,3030,Tech,,21,4,0.1905,3,0.1429,0,0.0,0.749,1248.05,9,9,1.0
69,,2865,Music,,10,3,0.3,1,0.1,0,0.0,0.7533,1395.9,4,4,1.0
70,,2207,Lifestyle,,25,11,0.44,3,0.12,3,0.12,0.7529,1276.0,16,9,0.5625
71,,1145,Comedy,,20,5,0.25,1,0.05,3,0.15,0.724,1197.75,10,7,0.7
72,,2748,Comedy,,21,5,0.2381,2,0.0952,3,0.1429,0.6657,952.43,10,2,0.2
73,,1512,Education,,25,6,0.24,2,0.08,1,0.04,0.7823,1311.2,4,9,2.25
74,,3295,Education,,21,4,0.1905,1,0.0476,1,0.0476,0.7393,1071.05,5,7,1.4
75,,3013,Sports,,22,9,0.4091,2,0.0909,2,0.0909,0.7437,975.27,10,7,0.7
76,,2021,Gaming,,18,6,0.3333,4,0.2222,1,0.0556,0.7832,1074.61,6,7,1.1667
77,,1679,Tech,,18,6,0.3333,2,0.1111,0,0.0,0.7398,1255.89,5,3,0.6
78,,1520,Gaming,,24,4,0.1667,2,0.0833,1,0.0417,0.7103,1039.88,6,8,1.3333
79,,1531,Lifestyle,,15,2,0.1333,0,0.0,1,0.0667,0.8698,1304.73,5,2,0.4
