video_id,titulo,video_duration_s,category,que_pasa,total_views,total_likes,like_rate,total_comments,comment_rate,suscriptores_ganados,subscription_rate,avg_watch_percent,avg_watch_time_s,veces_recomendado,total_clics,click_through_rate
1,,1508,News,"business, government, breaking, reporting, recap",22,8,0.3636,5,0.2273,0,0.0,0.6717,1116.77,6,6,1.0
2,,2645,Lifestyle,"skincare, project, routine, growth, gratitude",27,10,0.3704,4,0.1481,2,0.0741,0.6945,1206.0,11,12,1.0909
3,,1360,Gaming,"inventory, mission, character, royale, sandbox",15,4,0.2667,2,0.1333,0,0.0,0.7093,1331.27,3,4,1.3333
4,,2378,Music,"headphones, creative, mix, harmony, live",28,6,0.2143,2,0.0714,4,0.1429,0.6828,1260.07,8,6,0.75
5,,2939,Comedy,"creator, humor, delivery, trend, edit",20,7,0.35,2,0.1,0,0.0,0.5399,964.75,11,5,0.4545
6,,1345,Lifestyle,"budget, sidehustle, workout, apartment, clothes",21,6,0.2857,2,0.0952,1,0.0476,0.8623,1282.19,9,5,0.5556
7,,3043,Music,"melody, energy, mix, house, classical",29,10,0.3448,5,0.1724,1,0.0345,0.7775,1304.55,12,14,1.1667
8,,2607,Comedy,"edit, laughter, best, music, youtube",25,8,0.32,2,0.08,1,0.04,0.5659,732.52,11,8,0.7273
9,,1684,Music,"bass, song, label, creative, electronic",20,6,0.3,3,0.15,0,0.0,0.6888,953.5,5,3,0.6
10,,1943,Comedy,"expression, moment, rolling, timing, tone",17,6,0.3529,3,0.1765,1,0.0588,0.9074,1745.76,8,5,0.625
11,,1583,Education,"platform, topic, lecture, conclusion, learning",18,6,0.3333,3,0.1667,0,0.0,0.6142,1135.33,8,6,0.75
12,,573,Lifestyle,"sidehustle, cleaning, goal, career, party",17,3,0.1765,2,0.1176,0,0.0,0.7604,926.88,6,5,0.8333
13,,1259,Gaming,"console, minecraft, esports, tutorial, battlepass",14,1,0.0714,1,0.0714,0,0.0,0.8542,993.43,5,4,0.8
14,,3250,Lifestyle,"exercise, joy, nature, productivity, yoga",23,9,0.3913,2,0.087,1,0.0435,0.7273,1185.13,6,4,0.6667
15,,3308,Music,"jazz, vibe, voice, live, studio",19,7,0.3684,2,0.1053,1,0.0526,0.6801,1414.74,10,3,0.3
16,,2700,Music,"live, sample, hit, vibe, fan",23,8,0.3478,2,0.087,1,0.0435,0.6426,1074.52,7,6,0.8571
17,,1558,Education,"research, attention, question, elearning, analysis",18,7,0.3889,2,0.1111,0,0.0,0.8165,1324.61,7,4,0.5714
18,,1154,Comedy,"random, floor, stage, reaction, remix",20,7,0.35,0,0.0,0,0.0,0.6656,853.0,9,3,0.3333
19,,2968,Gaming,"stats, patch, meta, fpsboost, lag",22,8,0.3636,2,0.0909,1,0.0455,0.74,1248.5,6,5,0.8333
20,,2939,Education,"future, growth, language, homework, routine",24,4,0.1667,4,0.1667,0,0.0,0.8957,1677.92,6,8,1.3333
21,,2311,Education,"elearning, debate, skills, schedule, routine",19,4,0.2105,2,0.1053,1,0.0526,0.6686,1038.16,11,6,0.5455
22,,3125,Lifestyle,"family, home, budget, work, business",20,7,0.35,3,0.15,0,0.0,0.7034,1114.1,10,6,0.6
23,,373,Sports,"recovery, boxing, tactics, team, marathon",32,8,0.25,1,0.0312,6,0.1875,0.7127,1138.88,16,8,0.5
24,,384,Comedy,"reaction, edit, style, comedy, gesture",15,2,0.1333,3,0.2,0,0.0,0.8033,895.07,5,4,0.8
25,,433,Comedy,"smile, channel, music, tone, act",20,5,0.25,2,0.1,1,0.05,0.7931,1115.5,7,4,0.5714
26,,3071,Lifestyle,"spending, efficiency, business, hair, productivity",12,5,0.4167,1,0.0833,2,0.1667,0.7752,1235.42,6,2,0.3333
27,,1174,Comedy,"joke, ridiculous, timing, irony, energy",16,3,0.1875,2,0.125,1,0.0625,0.7675,1450.12,7,5,0.7143
28,,2258,Sports,"performance, physio, soccer, agility, baseball",20,4,0.2,2,0.1,0,0.0,0.8536,1125.0,7,5,0.7143
29,,2323,Gaming,"story, speedrun, guide, apex, achievement",18,4,0.2222,0,0.0,0,0.0,0.7355,1279.89,2,2,1.0
