"video_id","titulo","video_duration_s","category","que_pasa","total_views","total_likes","like_rate","total_comments","comment_rate","suscriptores_ganados","subscription_rate","avg_watch_percent","avg_watch_time_s","veces_recomendado","total_clics","click_through_rate"
"1","¿en las noticias por algo que no hizo? NO COMETAS ESTE ERROR","1508","News","business, government, breaking, reporting, recap","22","8","0.3636","5","0.2273","0","0.0","0.6717","1116.77","6","6","1.0"
"2","aterrador en el aeropuerto cuando tenía 3 años y no puedo hacer nada al respecto","2645","Lifestyle","skincare, project, routine, growth, gratitude","27","10","0.3704","4","0.1481","2","0.0741","0.6945","1206.0","11","12","1.0909"
"3","no puedo controlarme desde cero","1360","Gaming","inventory, mission, character, royale, sandbox","15","4","0.2667","2","0.1333","0","0.0","0.7093","1331.27","3","4","1.3333"
"4","Mi experiencia con hip hop a lo largo de los años","2378","Music","headphones, creative, mix, harmony, live","28","6","0.2143","2","0.0714","4","0.1429","0.6828","1260.07","8","6","0.75"
"5","Mi mejor amigo es una abuela (Explicado","2939","Comedy","creator, humor, delivery, trend, edit","20","7","0.35","2","0.1","0","0.0","0.5399","964.75","11","5","0.4545"
"6","Lo que nadie te dice de papá nos dejó después de una familia muy pobre","1345","Lifestyle","budget, sidehustle, workout, apartment, clothes","21","6","0.2857","2","0.0952","1","0.0476","0.8623","1282.19","9","5","0.5556"
"7","lo largo de los años (Explicado","3043","Music","melody, energy, mix, house, classical","29","10","0.3448","5","0.1724","1","0.0345","0.7775","1304.55","12","14","1.1667"
"8","Lo que nadie te dice de las muñecas? ¿Soy raro?","2607","Comedy","edit, laughter, best, music, youtube","25","8","0.32","2","0.08","1","0.04","0.5659","732.52","11","8","0.7273"
"9","escribir tu primera canción profesional (Explicado","1684","Music","bass, song, label, creative, electronic","20","6","0.3","3","0.15","0","0.0","0.6888","953.5","5","3","0.6"
"10","Mi experiencia con motivo más vergonzoso posible","1943","Comedy","expression, moment, rolling, timing, tone","17","6","0.3529","3","0.1765","1","0.0588","0.9074","1745.76","8","5","0.625"
"11","exámenes tipo test y no fallar: Guía 2026","1583","Education","platform, topic, lecture, conclusion, learning","18","6","0.3333","3","0.1667","0","0.0","0.6142","1135.33","8","6","0.75"
"12","orgullosa de ello (Explicado","573","Lifestyle","sidehustle, cleaning, goal, career, party","17","3","0.1765","2","0.1176","0","0.0","0.7604","926.88","6","5","0.8333"
"13","ESTO LO CAMBIA TODO y esto fue lo que pasó: resultó ser mi vecino","1259","Gaming","console, minecraft, esports, tutorial, battlepass","14","1","0.0714","1","0.0714","0","0.0","0.8542","993.43","5","4","0.8"
"14","dispositivo extraño en mi bolso. ¡Mi mamá me avergonzó y me rompió el corazón","3250","Lifestyle","exercise, joy, nature, productivity, yoga","23","9","0.3913","2","0.087","1","0.0435","0.7273","1185.13","6","4","0.6667"
"15","¿Vale la pena Las mejores canciones para estudiar este año?","3308","Music","jazz, vibe, voice, live, studio","19","7","0.3684","2","0.1053","1","0.0526","0.6801","1414.74","10","3","0.3"
"16","detrás de una buena mezcla y masterización (Explicado","2700","Music","live, sample, hit, vibe, fan","23","8","0.3478","2","0.087","1","0.0435","0.6426","1074.52","7","6","0.8571"
"17","Lo que nadie te dice de qué el sistema educativo actual está cambiando","1558","Education","research, attention, question, elearning, analysis","18","7","0.3889","2","0.1111","0","0.0","0.8165","1324.61","7","4","0.5714"
"18","NUNCA LO HABÍA PROBADO y esto fue lo que pasó: solo me siguen mis padres","1154","Comedy","random, floor, stage, reaction, remix","20","7","0.35","0","0.0","0","0.0","0.6656","853.0","9","3","0.3333"
"19","Esto cambió todo: de juegos y perdí todo [APRENDÍ ESTO A LAS MALAS","2968","Gaming","stats, patch, meta, fpsboost, lag","22","8","0.3636","2","0.0909","1","0.0455","0.74","1248.5","6","5","0.8333"
"20","y cómo evitarlos","2939","Education","future, growth, language, homework, routine","24","4","0.1667","4","0.1667","0","0.0","0.8957","1677.92","6","8","1.3333"
"21","Lo que nadie te dice de la educación financiera desde joven","2311","Education","elearning, debate, skills, schedule, routine","19","4","0.2105","2","0.1053","1","0.0526","0.6686","1038.16","11","6","0.5455"
"22","de mis amigos sobre mí desde cero","3125","Lifestyle","family, home, budget, work, business","20","7","0.35","3","0.15","0","0.0","0.7034","1114.1","10","6","0.6"
"23","Mi experiencia con para ganar masa muscular","373","Sports","recovery, boxing, tactics, team, marathon","32","8","0.25","1","0.0312","6","0.1875","0.7127","1138.88","16","8","0.5"
"24","Lo que nadie te dice de mi novia por culpa de unas patatas","384","Comedy","reaction, edit, style, comedy, gesture","15","2","0.1333","3","0.2","0","0.0","0.8033","895.07","5","4","0.8"
"25","anónimo en mi propia fiesta de cumpleaños desde cero","433","Comedy","smile, channel, music, tone, act","20","5","0.25","2","0.1","1","0.05","0.7931","1115.5","7","4","0.5714"
"26","y empezó a publicar cosas terribles: Guía 2026","3071","Lifestyle","spending, efficiency, business, hair, productivity","12","5","0.4167","1","0.0833","2","0.1667","0.7752","1235.42","6","2","0.3333"
"27","ESTO ES CLAVE: y ahora no sé qué hacer","1174","Comedy","joke, ridiculous, timing, irony, energy","16","3","0.1875","2","0.125","1","0.0625","0.7675","1450.12","7","5","0.7143"
"28","comunes al hacer deporte: Guía 2026","2258","Sports","performance, physio, soccer, agility, baseball","20","4","0.2","2","0.1","0","0.0","0.8536","1125.0","7","5","0.7143"
"29","Esto cambió todo: de juegos y perdí todo [NO COMETAS ESTE ERROR","2323","Gaming","story, speedrun, guide, apex, achievement","18","4","0.2222","0","0.0","0","0.0","0.7355","1279.89","2","2","1.0"
"30","¿Vale la pena culpable de la raya?","1442","News","channel, policy, stock, disaster, accident","14","7","0.5","5","0.3571","1","0.0714","0.8381","1168.29","4","4","1.0"
"31","Lo que nadie te dice de cita de Tinder","3228","Comedy","punchline, edit, expression, sound, fun","13","3","0.2308","2","0.1538","0","0.0","0.5983","1300.38","10","5","0.5"
"32","Esto cambió todo: cuando tenía 3 años y no me ha hablado en un año porque la traicioné [LO QUE NADIE TE CUENTA","1805","Lifestyle","makeup, planning, home, food, meditation","19","6","0.3158","1","0.0526","2","0.1053","0.7417","1717.74","5","5","1.0"
"33","Mi experiencia con mamá destruyó mi consola y me cambió la vida","401","Gaming","fortnite, skill, valorant, perk, ability","23","4","0.1739","1","0.0435","0","0.0","0.709","1413.61","11","11","1.0"
"34","Mi experiencia con educativo actual está cambiando","849","Education","understanding, criticalthinking, lecture, guide, history","21","9","0.4286","1","0.0476","1","0.0476","0.7821","1373.38","4","6","1.5"
"35","Las tendencias tecnológicas que dominarán los próximos años | RESULTADO REAL","1914","Tech","bitcoin, deployment, hosting, developer, tablet","18","7","0.3889","4","0.2222","1","0.0556","0.8014","1350.67","7","2","0.2857"
"36","Me banearon de mi juego favorito por una confusión | NADIE HABLA DE ESTO","2530","Gaming","match, csgo, story, team, update","20","3","0.15","1","0.05","2","0.1","0.6529","1176.9","8","6","0.75"
"37","ESTO ES SOLO EL PRINCIPIO y esto fue lo que pasó: verdad sobre la industria musical actual","568","Music","effect, piano, sample, electronic, note","21","7","0.3333","4","0.1905","0","0.0","0.8156","1215.29","10","8","0.8"
"38","una entrevista de trabajo con una cita y terminé lavando platos","1335","Comedy","like, satire, exaggeration, crying, tone","25","5","0.2","4","0.16","0","0.0","0.8117","1196.04","9","7","0.7778"
"39","¿beats profesionales con software básico? LO HICE SIN EXPERIENCIA","831","Music","audio, hit, viral, contract, synth","25","6","0.24","3","0.12","0","0.0","0.6728","1183.24","10","3","0.3"
"40","y todos mis secretos frente a mi familia","670","Comedy","ridiculous, parody, laugh, hilarious, entertainment","17","5","0.2941","1","0.0588","1","0.0588","0.7614","1047.0","5","8","1.6"
"41","¿Vale la pena se volvió alcohólico?","1351","News","online, report, warning, law, finance","18","7","0.3889","4","0.2222","1","0.0556","0.7899","1327.0","8","6","0.75"
"42","¿Vale la pena familia fue robada porque publiqué demasiado en redes?","2940","Lifestyle","motivation, destination, sidehustle, fun, career","27","2","0.0741","2","0.0741","5","0.1852","0.6741","1186.19","9","10","1.1111"
